IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.161.129,2087,2087,true,SIN,Asia Pacific,Singapore,83,8.84
8.218.158.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,78,8.83
8.218.8.142,8080,8080,false,HKG,Asia Pacific,Hong Kong,44,8.83
8.217.147.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,43,8.82
8.219.99.8,2083,2083,true,SIN,Asia Pacific,Singapore,55,8.82
47.245.114.163,80,80,false,SIN,Asia Pacific,Singapore,18,8.82
8.219.156.148,8443,8443,true,SIN,Asia Pacific,Singapore,68,8.81
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,49,8.81
47.243.203.119,80,80,false,HKG,Asia Pacific,Hong Kong,55,8.81
8.222.138.164,2095,2095,false,SIN,Asia Pacific,Singapore,9,8.81
8.219.40.37,8880,8880,false,SIN,Asia Pacific,Singapore,4,8.81
47.236.97.90,2086,2086,false,SIN,Asia Pacific,Singapore,11,8.81
47.236.87.206,80,80,false,SIN,Asia Pacific,Singapore,33,8.80
47.236.11.84,2052,2052,false,SIN,Asia Pacific,Singapore,37,8.80
8.210.66.190,2087,2087,true,HKG,Asia Pacific,Hong Kong,104,8.79
8.222.223.34,2052,2052,false,SIN,Asia Pacific,Singapore,5,8.79
8.219.61.52,8443,8443,true,SIN,Asia Pacific,Singapore,58,8.79
8.222.214.231,8080,8080,false,SIN,Asia Pacific,Singapore,31,8.79
8.219.147.58,80,80,false,SIN,Asia Pacific,Singapore,26,8.79
8.219.72.51,2053,2053,true,SIN,Asia Pacific,Singapore,77,8.78
8.219.93.5,2082,2082,false,SIN,Asia Pacific,Singapore,27,8.78
47.243.203.119,2096,2096,true,HKG,Asia Pacific,Hong Kong,97,8.78
8.222.146.222,2087,2087,true,SIN,Asia Pacific,Singapore,65,8.78
8.219.1.92,8080,8080,false,SIN,Asia Pacific,Singapore,5,8.78
8.222.210.182,2086,2086,false,SIN,Asia Pacific,Singapore,36,8.78
8.222.134.170,8880,8880,false,SIN,Asia Pacific,Singapore,23,8.77
8.219.99.8,2096,2096,true,SIN,Asia Pacific,Singapore,98,8.77
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,8.77
47.76.77.103,2095,2095,false,HKG,Asia Pacific,Hong Kong,41,8.76
8.222.224.17,80,80,false,SIN,Asia Pacific,Singapore,11,8.76
8.219.40.255,2096,2096,true,SIN,Asia Pacific,Singapore,40,8.76
8.219.40.255,8080,8080,false,SIN,Asia Pacific,Singapore,11,8.76
8.219.50.180,2083,2083,true,SIN,Asia Pacific,Singapore,35,8.76
8.219.78.1,2082,2082,false,SIN,Asia Pacific,Singapore,34,8.76
8.222.128.131,2082,2082,false,SIN,Asia Pacific,Singapore,6,8.76
8.222.211.16,443,443,true,SIN,Asia Pacific,Singapore,91,8.76
8.222.221.90,8443,8443,true,SIN,Asia Pacific,Singapore,61,8.75
8.222.193.208,80,80,false,SIN,Asia Pacific,Singapore,22,8.75
8.219.200.145,80,80,false,SIN,Asia Pacific,Singapore,5,8.75
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,26,8.75
47.236.75.113,2053,2053,true,SIN,Asia Pacific,Singapore,99,8.74
47.236.171.205,8080,8080,false,SIN,Asia Pacific,Singapore,26,8.74
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,53,8.74
8.219.206.180,2086,2086,false,SIN,Asia Pacific,Singapore,16,8.74
47.245.107.174,2087,2087,true,SIN,Asia Pacific,Singapore,47,8.74
8.218.122.55,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,8.73
47.236.123.133,2087,2087,true,SIN,Asia Pacific,Singapore,64,8.73
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,59,8.73
8.219.104.37,2053,2053,true,SIN,Asia Pacific,Singapore,75,8.73
8.219.6.157,2086,2086,false,SIN,Asia Pacific,Singapore,7,8.72
8.219.50.180,80,80,false,SIN,Asia Pacific,Singapore,18,8.72
8.219.170.180,2086,2086,false,SIN,Asia Pacific,Singapore,35,8.71
8.217.207.60,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,8.71
8.219.157.97,2082,2082,false,SIN,Asia Pacific,Singapore,15,8.71
8.219.228.157,2083,2083,true,SIN,Asia Pacific,Singapore,89,8.70
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,121,8.70
8.219.61.52,8880,8880,false,SIN,Asia Pacific,Singapore,10,8.70
8.219.42.72,2086,2086,false,SIN,Asia Pacific,Singapore,10,8.70
8.219.103.126,2087,2087,true,SIN,Asia Pacific,Singapore,64,8.70
8.219.99.8,2053,2053,true,SIN,Asia Pacific,Singapore,106,8.70
47.242.59.216,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,8.70
8.222.146.222,2052,2052,false,SIN,Asia Pacific,Singapore,38,8.70
8.218.11.90,80,80,false,HKG,Asia Pacific,Hong Kong,74,8.69
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,87,8.69
8.219.107.199,8880,8880,false,SIN,Asia Pacific,Singapore,10,8.69
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,34,8.69
8.219.140.63,2052,2052,false,SIN,Asia Pacific,Singapore,8,8.68
8.219.209.14,2087,2087,true,SIN,Asia Pacific,Singapore,63,8.68
